level,severity,audio_id,source,filename,duration_seconds,line_count,char_count,top_issue,text_path
high,253,wavlake-mp3__038__e8822e18,wavlake-mp3,038 - 038 - 038 孙宇晨：自由意志主义与市场经济.mp3,897.126,369,5970,连续重复,transcriptions/text/wavlake-mp3__038__e8822e18.txt
high,214,wavlake-mp3__013__2e0177a9,wavlake-mp3,013 - 013 - 013 孙宇晨：财富自由与个人边界.mp3,1526.713,52,1040,固定口播堆叠,transcriptions/text/wavlake-mp3__013__2e0177a9.txt
high,214,official-vimeo-m4a-partial__062__9e655304,official-vimeo-m4a-partial,062 - 062【总结】十年为期，我们来做个实验 [1179741818].m4a,1062.912,36,751,固定口播堆叠,transcriptions/text/official-vimeo-m4a-partial__062__9e655304.txt
high,214,official-vimeo-m4a-partial__033__e3f76656,official-vimeo-m4a-partial,033 - 033黄金不再作为货币 [1179724456].m4a,947.968,33,691,固定口播堆叠,transcriptions/text/official-vimeo-m4a-partial__033__e3f76656.txt
high,214,wavlake-mp3__043__36e572fc,wavlake-mp3,043 - 043 - 043 孙宇晨：女性年龄与婚姻价值.mp3,850.013,29,612,固定口播堆叠,transcriptions/text/wavlake-mp3__043__36e572fc.txt
high,214,wavlake-mp3__039__9fb059c3,wavlake-mp3,039 - 039 - 039 孙宇晨：自由选择与成年.mp3,855.005,29,595,固定口播堆叠,transcriptions/text/wavlake-mp3__039__9fb059c3.txt
high,214,wavlake-mp3__037__e0a31e02,wavlake-mp3,037 - 037 - 037 孙宇晨：财富自由与激进策略.mp3,797.396,28,592,固定口播堆叠,transcriptions/text/wavlake-mp3__037__e0a31e02.txt
high,214,official-vimeo-m4a-partial__026__4daec175,official-vimeo-m4a-partial,026 - 026金钱与自由 [1179695221].m4a,628.501,22,471,固定口播堆叠,transcriptions/text/official-vimeo-m4a-partial__026__4daec175.txt
high,214,wavlake-mp3__019__35a63fa6,wavlake-mp3,019 - 019 - 019 孙宇晨：财富自由观念与知识分子矛盾.mp3,614.052,21,451,固定口播堆叠,transcriptions/text/wavlake-mp3__019__35a63fa6.txt
high,202,wavlake-mp3__053__46b114c1,wavlake-mp3,053 - 053 - 053 孙宇晨：谈财富自由与游牧民族价值观.mp3,550.174,19,411,固定口播堆叠,transcriptions/text/wavlake-mp3__053__46b114c1.txt
high,190,wavlake-mp3__015__c640b5fd,wavlake-mp3,015 - 015 - 015 孙宇晨：因信仰自由而享受自由.mp3,427.595,16,320,连续重复,transcriptions/text/wavlake-mp3__015__c640b5fd.txt
high,186,wavlake-mp3__014__3d6df612,wavlake-mp3,014 - 014 - 014 孙宇晨：财富自由需要持续努力和正确理财.mp3,940.013,37,740,固定口播堆叠,transcriptions/text/wavlake-mp3__014__3d6df612.txt
high,186,official-vimeo-m4a-partial__022__aa8d4166,official-vimeo-m4a-partial,022 - 022穷人思维下的教育问题 [1179694168].m4a,837.845,33,691,固定口播堆叠,transcriptions/text/official-vimeo-m4a-partial__022__aa8d4166.txt
high,186,official-vimeo-m4a-partial__023__a410c186,official-vimeo-m4a-partial,023 - 023穷人思维与富人思维 [1179694477].m4a,723.52,28,591,固定口播堆叠,transcriptions/text/official-vimeo-m4a-partial__023__a410c186.txt
high,176,official-vimeo-m4a-partial__051__94d88a42,official-vimeo-m4a-partial,051 - 051【90后不买房】我们都是“房族” [1179739983].m4a,707.435,35,631,固定口播堆叠,transcriptions/text/official-vimeo-m4a-partial__051__94d88a42.txt
high,162,wavlake-mp3__052__b5b268f8,wavlake-mp3,052 - 052 - 052 孙宇晨：谈户口、房子与教育问题.mp3,470.715,17,371,连续重复,transcriptions/text/wavlake-mp3__052__b5b268f8.txt
high,150,wavlake-mp3__064__6e7ec5f8,wavlake-mp3,064 - 064 - 064【原始积累】你只需要每项比平均强1%.mp3,583.68,64,873,连续重复,transcriptions/text/wavlake-mp3__064__6e7ec5f8.txt
high,138,wavlake-mp3__017__679379a1,wavlake-mp3,017 - 017 - 017 孙宇晨：更宽阔的财富自由之路.mp3,374.097,13,291,连续重复,transcriptions/text/wavlake-mp3__017__679379a1.txt
high,99,wavlake-mp3__016__817bdf46,wavlake-mp3,016 - 016 - 016 孙宇晨：财富自由从未如此容易过.mp3,1227.848,545,6119,连续重复,transcriptions/text/wavlake-mp3__016__817bdf46.txt
high,97,official-vimeo-m4a-partial__020__3716d04e,official-vimeo-m4a-partial,020 - 020课程大纲讲解续一 [1179693632].m4a,497.515,6,163,连续重复,transcriptions/text/official-vimeo-m4a-partial__020__3716d04e.txt
high,81,wavlake-mp3__010__0b5decda,wavlake-mp3,010 - 010 - 010 孙宇晨：财富自由是年轻人首要关注的问题.mp3,459.012,82,1497,连续重复,transcriptions/text/wavlake-mp3__010__0b5decda.txt
high,80,wavlake-mp3__105__041bd302,wavlake-mp3,105 - 105 - 106 孙宇晨：【直播回听】分享投资经验.mp3,3873.599,1808,15692,行内循环,transcriptions/text/wavlake-mp3__105__041bd302.txt
medium,78,wavlake-mp3__057__32f5bb4a,wavlake-mp3,057 - 057 - 057 孙宇晨：【90后不买车】共享经济与互联网红利.mp3,778.519,297,6066,连续重复,transcriptions/text/wavlake-mp3__057__32f5bb4a.txt
medium,78,wavlake-mp3__124__4343a7c0,wavlake-mp3,124 - 124 - 125 孙宇晨：【财富天问】中国人为什么富不起来？谈中国财富传承问题.mp3,1020.006,268,4742,连续重复,transcriptions/text/wavlake-mp3__124__4343a7c0.txt
medium,74,wavlake-mp3__104__c80960f1,wavlake-mp3,104 - 104 - 105 孙宇晨：【比特币】与区块链的关系.mp3,437.812,177,3802,连续重复,transcriptions/text/wavlake-mp3__104__c80960f1.txt
medium,72,wavlake-mp3__045__81c4a2e0,wavlake-mp3,045 - 045 - 045 孙宇晨：谈90后婚姻观与成年定义.mp3,951.809,332,4357,近似重复,transcriptions/text/wavlake-mp3__045__81c4a2e0.txt
medium,69,official-vimeo-m4a-partial__010__52931080,official-vimeo-m4a-partial,010 - 010预告-财富自由是什么 [1179690712].m4a,458.987,151,1464,连续重复,transcriptions/text/official-vimeo-m4a-partial__010__52931080.txt
medium,64,wavlake-mp3__118__86d1aebf,wavlake-mp3,118 - 118 - 119 孙宇晨：【家人边界】财富自由与离婚影响.mp3,565.383,116,2629,连续重复,transcriptions/text/wavlake-mp3__118__86d1aebf.txt
medium,59,official-vimeo-m4a-partial__016__71e7d985,official-vimeo-m4a-partial,016 - 016财富自由从未如此容易过 [1179692693].m4a,1227.84,580,6060,连续重复,transcriptions/text/official-vimeo-m4a-partial__016__71e7d985.txt
medium,55,wavlake-mp3__048__8b1ae8f0,wavlake-mp3,048 - 048 - 048 孙宇晨：租房也可以很美好.mp3,727.063,156,3308,连续重复,transcriptions/text/wavlake-mp3__048__8b1ae8f0.txt
medium,46,official-vimeo-m4a-partial__032__2714f2f9,official-vimeo-m4a-partial,032 - 032布林顿森林体系的建立与崩塌 [1179724265].m4a,874.24,177,4717,连续重复,transcriptions/text/official-vimeo-m4a-partial__032__2714f2f9.txt
medium,46,wavlake-mp3__042__1203f8e6,wavlake-mp3,042 - 042 - 042 孙宇晨：【90后不结婚】找到正确的婚姻“合伙人”.mp3,811.189,29,2840,连续重复,transcriptions/text/wavlake-mp3__042__1203f8e6.txt
medium,46,wavlake-mp3__062__51b8a2ee,wavlake-mp3,062 - 062 - 062 孙宇晨：【总结】十年为期，我们来做个实验.mp3,1062.963,38,1938,连续重复,transcriptions/text/wavlake-mp3__062__51b8a2ee.txt
medium,43,wavlake-mp3__119__c3bb26c7,wavlake-mp3,119 - 119 - 120 孙宇晨：【家人边界】平等的至亲关系.mp3,768.72,324,4951,连续重复,transcriptions/text/wavlake-mp3__119__c3bb26c7.txt
medium,42,wavlake-mp3__041__5af9497a,wavlake-mp3,041 - 041 - 041 孙宇晨：婚姻功能弱化.mp3,1530.056,465,8053,连续重复,transcriptions/text/wavlake-mp3__041__5af9497a.txt
medium,39,wavlake-mp3__055__2675560a,wavlake-mp3,055 - 055 - 055 孙宇晨：【鸡年大吉】我们共同走过的2016与即将踏上的2017.mp3,420.003,21,918,连续重复,transcriptions/text/wavlake-mp3__055__2675560a.txt
medium,38,wavlake-mp3__035__d63ae927,wavlake-mp3,035 - 035 - 035 孙宇晨：《权力的游戏》与互联网战争相似性.mp3,2319.093,614,10498,连续重复,transcriptions/text/wavlake-mp3__035__d63ae927.txt
medium,38,wavlake-mp3__028__03f42772,wavlake-mp3,028 - 028 - 028 孙宇晨：背负家庭的女孩.mp3,624.895,191,3180,连续重复,transcriptions/text/wavlake-mp3__028__03f42772.txt
medium,37,official-vimeo-m4a-partial__012__842975e3,official-vimeo-m4a-partial,012 - 012财富自由的本质 [1179691257].m4a,817.515,323,3501,连续重复,transcriptions/text/official-vimeo-m4a-partial__012__842975e3.txt
medium,37,wavlake-mp3__012__a90a69b6,wavlake-mp3,012 - 012 - 012 孙宇晨：财富自由与精神自由的关系.mp3,817.551,304,3464,连续重复,transcriptions/text/wavlake-mp3__012__a90a69b6.txt
medium,36,official-vimeo-m4a-partial__049__a4da2ce3,official-vimeo-m4a-partial,049 - 049【番外】投资分享会中与粉丝交流的部分 [1179727406].m4a,1203.115,313,6075,行内循环,transcriptions/text/official-vimeo-m4a-partial__049__a4da2ce3.txt
medium,35,wavlake-mp3__036__8bed1231,wavlake-mp3,036 - 036 - 036 孙宇晨：财富自由与杠杆投资.mp3,1212.337,53,5671,连续重复,transcriptions/text/wavlake-mp3__036__8bed1231.txt
medium,32,wavlake-mp3__078__32514846,wavlake-mp3,078 - 078 - 078 孙宇晨：【番外】相信折腾的力量.mp3,1905.058,662,9835,连续重复,transcriptions/text/wavlake-mp3__078__32514846.txt
medium,32,wavlake-mp3__049__0fdcd03f,wavlake-mp3,049 - 049 - 049 孙宇晨：投资分享会.mp3,1203.142,411,6115,行内循环,transcriptions/text/wavlake-mp3__049__0fdcd03f.txt
medium,32,wavlake-mp3__125__069007db,wavlake-mp3,125 - 125 - 126 孙宇晨：【财富天问】王侯将相宁有种乎？谈中国财产权问题.mp3,944.727,371,3883,行内循环,transcriptions/text/wavlake-mp3__125__069007db.txt
medium,32,official-vimeo-m4a-partial__025__5b4cc5d1,official-vimeo-m4a-partial,025 - 025未来社会的演变 [1179695011].m4a,808.32,283,3802,连续重复,transcriptions/text/official-vimeo-m4a-partial__025__5b4cc5d1.txt
medium,29,wavlake-mp3__050__a0af7ba3,wavlake-mp3,050 - 050 - 050 孙宇晨：【案例】小王在燕郊的房子.mp3,876.135,103,3966,连续重复,transcriptions/text/wavlake-mp3__050__a0af7ba3.txt
medium,29,wavlake-mp3__095__3bea9fa5,wavlake-mp3,095 - 095 - 095 孙宇晨：【案例】现在开淘宝店靠谱吗？.mp3,432.425,79,2182,连续重复,transcriptions/text/wavlake-mp3__095__3bea9fa5.txt
medium,28,wavlake-mp3__006__3aa7bdab,wavlake-mp3,006 - 006 - 006 孙宇晨：【创刊词】为什么大多数人勤劳却不富有？.mp3,1558.396,583,7886,行内循环,transcriptions/text/wavlake-mp3__006__3aa7bdab.txt
medium,28,official-vimeo-m4a-partial__006__a47f6122,official-vimeo-m4a-partial,006 - 006【创刊词】为什么大多数人勤劳却不富有？ [1179688350].m4a,1558.315,402,7812,行内循环,transcriptions/text/official-vimeo-m4a-partial__006__a47f6122.txt
medium,28,wavlake-mp3__021__2cde99a5,wavlake-mp3,021 - 021 - 021 孙宇晨：财富自由与和解艺术.mp3,905.718,40,4980,行内循环,transcriptions/text/wavlake-mp3__021__2cde99a5.txt
medium,28,wavlake-mp3__097__e53f6314,wavlake-mp3,097 - 097 - 097 孙宇晨：【小结】不当南郭先生.mp3,675.376,25,3699,行内循环,transcriptions/text/wavlake-mp3__097__e53f6314.txt
medium,26,wavlake-mp3__103__0ca2de19,wavlake-mp3,103 - 103 - 104 孙宇晨：【比特币】买买提.mp3,379.878,85,1686,近似重复,transcriptions/text/wavlake-mp3__103__0ca2de19.txt
medium,26,wavlake-mp3__128__fa2d5a99,wavlake-mp3,128 - 128 - 129 孙宇晨：【财富天问】割韭菜的时代，谈财富自由与历史洗牌.mp3,399.337,55,1574,近似重复,transcriptions/text/wavlake-mp3__128__fa2d5a99.txt
