filename	size_bytes	sha256
000 - 000我们就是这个时代的既得利益者 [1179679629].m4a	9336945	205c23af581aa2bb03386745d96225eeddf53507e0ba8f9f3e3a27781be6fcb2
001 - 001【马东推荐】我心生羡慕嫉妒恨 [1179683060].m4a	1392942	60b42d8a7b77761eaeba2e0ee3edf128dd7ef396e369b568be3055d06a2cbd9b
002 - 002【冯仑推荐】我很期待听到这样的声音 [1179683841].m4a	2006287	a9a2a4d0541c2e68381489b025b4276879efae11fc3d06838fb2b2e5eb60173c
003 - 003【吴晓波推荐】宇晨对投资有独特的方法论 [1179684422].m4a	716974	efc84aaeed36f5b95e1cb66b11f555421e5bfd17cfcd904cba477a01376ada97
004 - 004【鲁豫推荐】宇晨坚信所有的人都可以实现财富自由 [1179687576].m4a	1194432	c0e986184825f86d8a9f5ec6aae98d13ed34869578add8837fdc7321d8d184b9
005 - 005【同道大叔推荐】宇晨是一个很特别的人 [1179687907].m4a	1017793	d0ab7deb5b16f940bd37211d065f1332306b571254e07b96a3a1b61aeb4c8cee
006 - 006【创刊词】为什么大多数人勤劳却不富有？ [1179688350].m4a	37182455	9b6b65ac1fefb16075764869a2e6561572f1b9dd9ad5e7627bb1a83b93e7ca32
007 - 007【精华】孙宇晨投资秘籍首次公开 [1179689453].m4a	13959194	7b072de4d8890ecb6d89545da139ae1f27d2556ef97fc5c68943d4bed66e37a0
008 - 008【花絮】人生中的那些关键节点 [1179689834].m4a	26301033	7192e3920f62b366da74656df1760c500ffffa0b663f07a2a63df15dd3214e0b
009 - 009【花絮】个人选择与成长问答 [1179690308].m4a	23729000	93754c6a464319709baf4ca6e2ed7757e5e7dfd55020d447ea2fb7663685e1f0
010 - 010预告-财富自由是什么 [1179690712].m4a	3576748	1a530d5ebbaef5b75cfc640755e4aca8b821369a298f661f579a0b79d199bac7
012 - 012财富自由的本质 [1179691257].m4a	19507398	8f2a641642d6d3e49b770f29a2db37fde01a871e8cbc8c7eff2bd3448b125b17
013 - 013案例-一个卖掉自己的妹纸 [1179691533].m4a	36428718	ce8e8ff79ddc8bbd84252d621950d34e063a44e7deb757035757a86ff2e72b17
014 - 014案例-北京土著的移民理想 [1179691963].m4a	22429046	d46147fa58798f51584acd8b892d65bc531fb3ac6c6f864cc4ad3900548b652d
015 - 015总结-财富自由的定义 [1179692400].m4a	10203776	58fb8afa2c8cdd12fd2928f2984785f7d15385dd72e1c6f0f9c25b2a28675ab5
016 - 016财富自由从未如此容易过 [1179692693].m4a	29297504	794f22db26328ca31ea0771f671243a3a96bea4fcc86a36328dd258a02f081a4
017 - 017有关被认为是山寨的说明 [1179692955].m4a	859407	664b0b096e603709238d9a3e5ef790237eef76a50907634e2637e044007cd936
018 - 018课程大纲讲解 [1179693184].m4a	16918532	394c733e202932c9ea1a89ec8a36533e25617168757b3f8491b4aec10b0a6f28
019 - 019五分钟走向财富自由问答 [1179693406].m4a	1145579	8ee881854c2b15f541fdeab4afef59fc80143db9a09a9dc75fcec799efa7df7f
020 - 020课程大纲讲解续一 [1179693632].m4a	3720219	09e8636c9715a8482a85b42f9cd314bba33ebcc576e5ecfa383d67af47f7496c
021 - 021课程大纲讲解续二 [1179693830].m4a	21611552	e5d941701b778994cb28cb42f62075444c3cce8f7ad80d1b704532b0b593f98d
022 - 022穷人思维下的教育问题 [1179694168].m4a	19992391	13603b25d24d9cfa58994001be17fdbdc6b11fbf41f4b1d7f649eb933f90ebbd
023 - 023穷人思维与富人思维 [1179694477].m4a	17264700	965678ba9398b88d784474a630e9d585944de4d4389a5c3c5948c8e6bc6828df
024 - 024九零后新时代 [1179694797].m4a	16136752	8fa96259643f2b36462bab7bf3f9246fadc60983c3d5b1966e4134bd70cf2462
025 - 025未来社会的演变 [1179695011].m4a	19287935	f002062700b5830852c9e2d355bb436fb82f7cc5136d8b6f04e3d9b428f814b7
026 - 026金钱与自由 [1179695221].m4a	14997582	5d5fa4c2af650ad4e959fda2ad1774fc37f4b64d59369c0a7954373ea98c5005
027 - 027川普为什么赢 [1179695544].m4a	43573507	38eb6d9da0a42781bda8b1da4ac29c98775ae9e03370638121cc15e9251eabcd
028 - 028背负家庭的女孩 [1179695788].m4a	14910579	e0c4d82ab4b3202743bfdc563a20b62894b31dc6c536ccca7fdae22fc43c4d4d
029 - 029子女与父母的关系 [1179696163].m4a	18670574	1bc61a58df8b76dde21778400994612da693daf3ab96545f297242e8ae12ddd6
030 - 030一个男孩儿的自我救赎 [1179722655].m4a	21199843	5022a8628ff7575e1886499dffb599bffa2c62f5e103ed04e420db36f2df2be4
031 - 031如何利用好你的100万 [1179724042].m4a	12387442	1a0419e66a178abbb5311a2a41cbb25ed9bec0eb935a329565126ccf49b27fd7
032 - 032布林顿森林体系的建立与崩塌 [1179724265].m4a	20860749	1d8758346542ed4d647302dbe5079fb4d030349c40d874e2f15ebf31a8a172e2
033 - 033黄金不再作为货币 [1179724456].m4a	22619873	729b5cd68fdeb27db318119c59a43607226edad9af9f896937c52750f5c73ef7
034 - 034扩大你的“可控”负债是好事 [1179724607].m4a	15998304	92589999befe6d48f55c65dcfa07fa7daac88ac16d670d7e31e40623aa72f339
035 - 035【番外】书评：冰与火之歌 [1179724815].m4a	55334601	c6ca28d82fa086ef76742b6c47f54c48dc9cc74cb7c28bd99774888bd1c7647a
036 - 036【全球流动性过剩】通过加“杠杆”来增加财富 [1179724973].m4a	28927000	d32dfb03f91610865b517c3e17eed7dfa80546290eb929d09dfaf7e242091818
037 - 037【全球流动性过剩】时代呼唤激进而非保守 [1179725133].m4a	19026866	f7a268fe4e543bfa992ca2b8d6105b8ce98cf661bb5f605fc1ce580293977055
038 - 038【全球流动性过剩】什么是自由意志主义？ [1179725320].m4a	21406413	67c40f4cf1fbfc346b595906ab6305f16e8e001f14638311aaf8dd0ea82e3448
039 - 039你什么时候才能成年 [1179725490].m4a	20401170	d2f59d7af7f33d78accb6c001ff2f0d0044550bf4b85e6df07c6aad01ef697c7
040 - 040结婚这件小事 [1179725712].m4a	20282040	ff460947f579abf64208c3b8780728b13c6ad181b293c4961569224490afd461
041 - 041【90后不结婚】互联网时代的婚姻 [1179725924].m4a	36507044	347b90fc3456ebb1956c44cfb6f660b4fc733ae7bdc5b5fbfe93d2bd206dc50c
